HCPCS,DESCRIPTION,RVU,FACTOR
A4232,Syringe w/needle insulin 3cc,0.00,36.0896
A4233,Alkalin batt for glucose mon,0.00,36.0896
A4234,J-cell batt for glucose mon,0.00,36.0896
A4235,Lithium batt for glucose mon,0.00,36.0896
A4236,Silvr oxide batt glucose mon,0.00,36.0896
A4244,Alcohol or peroxide per pint,0.00,36.0896
A4245,Alcohol wipes per box,0.00,36.0896
A4246,Betadine/phisohex solution,0.00,36.0896
A4247,Betadine/iodine swabs/wipes,0.00,36.0896
A4248,Chlorhexidine antisept,0.00,36.0896
A4250,Urine reagent strips/tablets,0.00,36.0896
A4252,Blood ketone test or strip,0.00,36.0896
A4253,Blood glucose/reagent strips,0.00,36.0896
A4255,Glucose monitor platforms,0.00,36.0896
A4256,Calibrator solution/chips,0.00,36.0896
A4257,Replace lensshield cartridge,0.00,36.0896
A4258,Lancet device each,0.00,36.0896
A4259,Lancets per box,0.00,36.0896
A4261,Cervical cap contraceptive,0.00,36.0896
A4262,Temporary tear duct plug,0.00,36.0896
A4263,Permanent tear duct plug,0.00,36.0896
A4264,Intratubal occlusion device,0.00,36.0896
A4265,Paraffin,0.00,36.0896
A4266,Diaphragm,0.00,36.0896
A4267,Male condom,0.00,36.0896
A4268,Female condom,0.00,36.0896
A4269,Spermicide,0.00,36.0896
A4270,Disposable endoscope sheath,0.00,36.0896
A4280,Brst prsths adhsv attchmnt,0.00,36.0896
A4281,Replacement breastpump tube,0.00,36.0896
A4282,Replacement breastpump adpt,0.00,36.0896
A4283,Replacement breastpump cap,0.00,36.0896
A4284,Replcmnt breast pump shield,0.00,36.0896
A4285,Replcmnt breast pump bottle,0.00,36.0896
A4286,Replcmnt breastpump lok ring,0.00,36.0896
A4290,Sacral nerve stim test lead,0.00,36.0896
A4300,Cath impl vasc access portal,0.00,36.0896
A4301,Implantable access syst perc,0.00,36.0896
A4305,Drug delivery system >=50 ml,0.00,36.0896
A4306,Drug delivery system <=50 ml,0.00,36.0896
A4310,Insert tray w/o bag/cath,0.00,36.0896
A4311,Catheter w/o bag 2-way latex,0.00,36.0896
A4312,Cath w/o bag 2-way silicone,0.00,36.0896
A4313,Catheter w/bag 3-way,0.00,36.0896
A4314,Cath w/drainage 2-way latex,0.00,36.0896
A4315,Cath w/drainage 2-way silcne,0.00,36.0896
A4316,Cath w/drainage 3-way,0.00,36.0896
A4320,Irrigation tray,0.00,36.0896
A4321,Cath therapeutic irrig agent,0.00,36.0896
A4322,Irrigation syringe,0.00,36.0896
A4326,Male external catheter,0.00,36.0896
A4327,Fem urinary collect dev cup,0.00,36.0896
A4328,Fem urinary collect pouch,0.00,36.0896
A4330,Stool collection pouch,0.00,36.0896
A4331,Extension drainage tubing,0.00,36.0896
A4332,Lube sterile packet,0.00,36.0896
A4333,Urinary cath anchor device,0.00,36.0896
A4334,Urinary cath leg strap,0.00,36.0896
A4335,Incontinence supply,0.00,36.0896
A4336,Urethral insert,0.00,36.0896
A4337,Incontinent rectal insert,0.00,36.0896
A4338,Indwelling catheter latex,0.00,36.0896
A4340,Indwelling catheter special,0.00,36.0896
A4344,Cath indw foley 2 way silicn,0.00,36.0896
A4346,Cath indw foley 3 way,0.00,36.0896
A4349,Disposable male external cat,0.00,36.0896
A4351,Straight tip urine catheter,0.00,36.0896
A4352,Coude tip urinary catheter,0.00,36.0896
A4353,Intermittent urinary cath,0.00,36.0896
A4354,Cath insertion tray w/bag,0.00,36.0896
A4355,Bladder irrigation tubing,0.00,36.0896
A4356,Ext ureth clmp or compr dvc,0.00,36.0896
A4357,Bedside drainage bag,0.00,36.0896
A4358,Urinary leg or abdomen bag,0.00,36.0896
A4360,Disposable ext urethral dev,0.00,36.0896
A4361,Ostomy face plate,0.00,36.0896
A4362,Solid skin barrier,0.00,36.0896
A4363,"Ostomy clamp, replacement",0.00,36.0896
A4364,"Adhesive, liquid or equal",0.00,36.0896
A4366,Ostomy vent,0.00,36.0896
A4367,Ostomy belt,0.00,36.0896
A4368,Ostomy filter,0.00,36.0896
A4369,Skin barrier liquid per oz,0.00,36.0896
A4371,Skin barrier powder per oz,0.00,36.0896
A4372,Skin barrier solid 4x4 equiv,0.00,36.0896
A4373,Skin barrier with flange,0.00,36.0896
A4375,Drainable plastic pch w fcpl,0.00,36.0896
A4376,Drainable rubber pch w fcplt,0.00,36.0896
A4377,Drainable plstic pch w/o fp,0.00,36.0896
A4378,Drainable rubber pch w/o fp,0.00,36.0896
A4379,Urinary plastic pouch w fcpl,0.00,36.0896
A4380,Urinary rubber pouch w fcplt,0.00,36.0896
A4381,Urinary plastic pouch w/o fp,0.00,36.0896
A4382,Urinary hvy plstc pch w/o fp,0.00,36.0896
A4383,Urinary rubber pouch w/o fp,0.00,36.0896
A4384,Ostomy faceplt/silicone ring,0.00,36.0896
A4385,Ost skn barrier sld ext wear,0.00,36.0896
A4387,Ost clsd pouch w att st barr,0.00,36.0896
A4388,Drainable pch w ex wear barr,0.00,36.0896
A4389,Drainable pch w st wear barr,0.00,36.0896
A4390,Drainable pch ex wear convex,0.00,36.0896
A4391,Urinary pouch w ex wear barr,0.00,36.0896
A4392,Urinary pouch w st wear barr,0.00,36.0896
A4393,Urine pch w ex wear bar conv,0.00,36.0896
A4394,Ostomy pouch liq deodorant,0.00,36.0896
A4395,Ostomy pouch solid deodorant,0.00,36.0896
A4396,Peristomal hernia supprt blt,0.00,36.0896
A4397,Irrigation supply sleeve,0.00,36.0896
A4398,Ostomy irrigation bag,0.00,36.0896
A4399,Ostomy irrig cone/cath w brs,0.00,36.0896
A4400,Ostomy irrigation set,0.00,36.0896
A4402,Lubricant per ounce,0.00,36.0896
A4404,Ostomy ring each,0.00,36.0896
A4405,Nonpectin based ostomy paste,0.00,36.0896
A4406,Pectin based ostomy paste,0.00,36.0896
A4407,"Ext wear ost skn barr <=4sq""",0.00,36.0896
A4408,"Ext wear ost skn barr >4sq""",0.00,36.0896
A4409,Ost skn barr convex <=4 sq i,0.00,36.0896
A4410,Ost skn barr extnd >4 sq,0.00,36.0896
A4411,Ost skn barr extnd =4sq,0.00,36.0896
A4412,Ost pouch drain high output,0.00,36.0896
A4413,2 pc drainable ost pouch,0.00,36.0896
A4414,Ost sknbar w/o conv<=4 sq in,0.00,36.0896
A4415,Ost skn barr w/o conv >4 sqi,0.00,36.0896
A4416,Ost pch clsd w barrier/filtr,0.00,36.0896
A4417,Ost pch w bar/bltinconv/fltr,0.00,36.0896
A4418,Ost pch clsd w/o bar w filtr,0.00,36.0896
A4419,Ost pch for bar w flange/flt,0.00,36.0896
A4420,Ost pch clsd for bar w lk fl,0.00,36.0896
A4421,Ostomy supply misc,0.00,36.0896
A4422,Ost pouch absorbent material,0.00,36.0896
A4423,Ost pch for bar w lk fl/fltr,0.00,36.0896
A4424,Ost pch drain w bar & filter,0.00,36.0896
A4425,Ost pch drain for barrier fl,0.00,36.0896
A4426,Ost pch drain 2 piece system,0.00,36.0896
A4427,Ost pch drain/barr lk flng/f,0.00,36.0896
A4428,Urine ost pouch w faucet/tap,0.00,36.0896
A4429,Urine ost pouch w bltinconv,0.00,36.0896
A4430,Ost urine pch w b/bltin conv,0.00,36.0896
A4431,Ost pch urine w barrier/tapv,0.00,36.0896
A4432,Os pch urine w bar/fange/tap,0.00,36.0896
A4433,Urine ost pch bar w lock fln,0.00,36.0896
A4434,Ost pch urine w lock flng/ft,0.00,36.0896
A4435,1pc ost pch drain hgh output,0.00,36.0896
A4450,Non-waterproof tape,0.00,36.0896
A4452,Waterproof tape,0.00,36.0896
A4455,Adhesive remover per ounce,0.00,36.0896
A4456,"Adhesive remover, wipes",0.00,36.0896
A4458,Reusable enema bag,0.00,36.0896
A4459,"Manual pump enema, reusable",0.00,36.0896
A4461,Surgicl dress hold non-reuse,0.00,36.0896
A4463,Surgical dress holder reuse,0.00,36.0896
A4465,Non-elastic extremity binder,0.00,36.0896
A4467,Belt strap sleev grmnt cover,0.00,36.0896
A4470,Gravlee jet washer,0.00,36.0896
A4480,Vabra aspirator,0.00,36.0896
A4481,Tracheostoma filter,0.00,36.0896
A4483,Moisture exchanger,0.00,36.0896
A4490,Above knee surgical stocking,0.00,36.0896
A4495,Thigh length surg stocking,0.00,36.0896
A4500,Below knee surgical stocking,0.00,36.0896
A4510,Full length surg stocking,0.00,36.0896
A4520,Incontinence garment anytype,0.00,36.0896
A4550,Surgical trays,0.00,36.0896
A4553,"Nondisp underpads, all sizes",0.00,36.0896
A4554,Disposable underpads,0.00,36.0896
A4555,Ca tx e-stim electr/transduc,0.00,36.0896
A4556,"Electrodes, pair",0.00,36.0896
A4557,"Lead wires, pair",0.00,36.0896
A4558,Conductive gel or paste,0.00,36.0896
A4559,Coupling gel or paste,0.00,36.0896
A4561,"Pessary rubber, any type",0.00,36.0896
A4562,"Pessary, non rubber,any type",0.00,36.0896
A4563,Vag inser rectal control sys,0.00,36.0896
A4565,Slings,0.00,36.0896
A4566,Should sling/vest/abrestrain,0.00,36.0896
A4570,Splint,0.00,36.0896
A4575,Hyperbaric o2 chamber disps,0.00,36.0896
A4580,Cast supplies (plaster),0.00,36.0896
A4590,Special casting material,0.00,36.0896
A4595,Tens suppl 2 lead per month,0.00,36.0896
A4600,"Sleeve, inter limb comp dev",0.00,36.0896
A4601,Lith ion non prosth recharge,0.00,36.0896
A4602,Replace lithium battery 1.5v,0.00,36.0896
A4604,Tubing with heating element,0.00,36.0896
A4605,Trach suction cath close sys,0.00,36.0896
A4606,Oxygen probe used w oximeter,0.00,36.0896
A4608,Transtracheal oxygen cath,0.00,36.0896
A4611,Heavy duty battery,0.00,36.0896
A4612,Battery cables,0.00,36.0896
A4613,Battery charger,0.00,36.0896
A4614,Hand-held pefr meter,0.00,36.0896
A4615,Cannula nasal,0.00,36.0896
A4616,Tubing (oxygen) per foot,0.00,36.0896
A4617,Mouth piece,0.00,36.0896
A4618,Breathing circuits,0.00,36.0896
A4619,Face tent,0.00,36.0896
A4620,Variable concentration mask,0.00,36.0896
A4623,Tracheostomy inner cannula,0.00,36.0896
A4624,Tracheal suction tube,0.00,36.0896
A4625,Trach care kit for new trach,0.00,36.0896
A4626,Tracheostomy cleaning brush,0.00,36.0896
A4627,Spacer bag/reservoir,0.00,36.0896
A4628,Oropharyngeal suction cath,0.00,36.0896
A4629,Tracheostomy care kit,0.00,36.0896
A4630,Repl bat t.e.n.s. own by pt,0.00,36.0896
A4633,Uvl replacement bulb,0.00,36.0896
A4634,Replacement bulb th lightbox,0.00,36.0896
A4635,Underarm crutch pad,0.00,36.0896
A4636,Handgrip for cane etc,0.00,36.0896
A4637,Repl tip cane/crutch/walker,0.00,36.0896
A4638,Repl batt pulse gen sys,0.00,36.0896
A4639,Infrared ht sys replcmnt pad,0.00,36.0896
A4640,Alternating pressure pad,0.00,36.0896
A4641,Radiopharm dx agent noc,0.00,36.0896
A4642,In111 satumomab,0.00,36.0896
A4648,Implantable tissue marker,0.00,36.0896
A4649,Surgical supplies,0.00,36.0896
A4650,Implant radiation dosimeter,0.00,36.0896
A4651,Calibrated microcap tube,0.00,36.0896
A4652,Microcapillary tube sealant,0.00,36.0896
A4653,Pd catheter anchor belt,0.00,36.0896
A4657,Syringe w/wo needle,0.00,36.0896
A4660,Sphyg/bp app w cuff and stet,0.00,36.0896
A4663,Dialysis blood pressure cuff,0.00,36.0896
A4670,"Automatic bp monitor, dial",0.00,36.0896
A4671,Disposable cycler set,0.00,36.0896
A4672,"Drainage ext line, dialysis",0.00,36.0896
A4673,Ext line w easy lock connect,0.00,36.0896
A4674,"Chem/antisept solution, 8oz",0.00,36.0896
A4680,"Activated carbon filter, ea",0.00,36.0896
A4690,"Dialyzer, each",0.00,36.0896
A4706,Bicarbonate conc sol per gal,0.00,36.0896
A4707,Bicarbonate conc pow per pac,0.00,36.0896
A4708,Acetate conc sol per gallon,0.00,36.0896
A4709,Acid conc sol per gallon,0.00,36.0896
A4714,Treated water per gallon,0.00,36.0896
A4719,"""y set"" tubing",0.00,36.0896
A4720,Dialysat sol fld vol > 249cc,0.00,36.0896
A4721,Dialysat sol fld vol > 999cc,0.00,36.0896
A4722,Dialys sol fld vol > 1999cc,0.00,36.0896
A4723,Dialys sol fld vol > 2999cc,0.00,36.0896
A4724,Dialys sol fld vol > 3999cc,0.00,36.0896
A4725,Dialys sol fld vol > 4999cc,0.00,36.0896
A4726,Dialys sol fld vol > 5999cc,0.00,36.0896
A4728,"Dialysate solution, non-dex",0.00,36.0896
A4730,"Fistula cannulation set, ea",0.00,36.0896
A4736,"Topical anesthetic, per gram",0.00,36.0896
A4737,Inj anesthetic per 10 ml,0.00,36.0896
A4740,Shunt accessory,0.00,36.0896
A4750,Art or venous blood tubing,0.00,36.0896
A4755,Comb art/venous blood tubing,0.00,36.0896
A4760,"Dialysate sol test kit, each",0.00,36.0896
A4765,Dialysate conc pow per pack,0.00,36.0896
A4766,Dialysate conc sol add 10 ml,0.00,36.0896
A4770,Blood collection tube/vacuum,0.00,36.0896
A4771,Serum clotting time tube,0.00,36.0896
A4772,Blood glucose test strips,0.00,36.0896
A4773,Occult blood test strips,0.00,36.0896
A4774,Ammonia test strips,0.00,36.0896
A4802,Protamine sulfate per 50 mg,0.00,36.0896
A4860,Disposable catheter tips,0.00,36.0896
A4870,Plumb/elec wk hm hemo equip,0.00,36.0896
A4890,Repair/maint cont hemo equip,0.00,36.0896
A4911,Drain bag/bottle,0.00,36.0896
A4913,Misc dialysis supplies noc,0.00,36.0896
A4918,Venous pressure clamp,0.00,36.0896
A4927,Non-sterile gloves,0.00,36.0896
A4928,Surgical mask,0.00,36.0896
A4929,"Tourniquet for dialysis, ea",0.00,36.0896
A4930,"Sterile, gloves per pair",0.00,36.0896
A4931,Reusable oral thermometer,0.00,36.0896
A4932,Reusable rectal thermometer,0.00,36.0896
A5051,Pouch clsd w barr attached,0.00,36.0896
A5052,Clsd ostomy pouch w/o barr,0.00,36.0896
A5053,Clsd ostomy pouch faceplate,0.00,36.0896
A5054,Clsd ostomy pouch w/flange,0.00,36.0896
A5055,Stoma cap,0.00,36.0896
A5056,1 pc ost pouch w filter,0.00,36.0896
A5057,1 pc ost pou w built-in conv,0.00,36.0896
A5061,Pouch drainable w barrier at,0.00,36.0896
A5062,Drnble ostomy pouch w/o barr,0.00,36.0896
A5063,Drain ostomy pouch w/flange,0.00,36.0896
A5071,Urinary pouch w/barrier,0.00,36.0896
A5072,Urinary pouch w/o barrier,0.00,36.0896
A5073,Urinary pouch on barr w/flng,0.00,36.0896
A5081,"Stoma plug or seal, any type",0.00,36.0896
A5082,Continent stoma catheter,0.00,36.0896
A5083,Stoma absorptive cover,0.00,36.0896
A5093,Ostomy accessory convex inse,0.00,36.0896
A5102,Bedside drain btl w/wo tube,0.00,36.0896
A5105,Urinary suspensory,0.00,36.0896
A5112,Urinary leg bag,0.00,36.0896
A5113,Latex leg strap,0.00,36.0896
A5114,Foam/fabric leg strap,0.00,36.0896
A5120,"Skin barrier, wipe or swab",0.00,36.0896
A5121,Solid skin barrier 6x6,0.00,36.0896
A5122,Solid skin barrier 8x8,0.00,36.0896
A5126,Disk/foam pad +or- adhesive,0.00,36.0896
A5131,Appliance cleaner,0.00,36.0896
A5200,Percutaneous catheter anchor,0.00,36.0896
A5500,Diab shoe for density insert,0.00,36.0896
A5501,Diabetic custom molded shoe,0.00,36.0896
A5503,Diabetic shoe w/roller/rockr,0.00,36.0896
A5504,Diabetic shoe with wedge,0.00,36.0896
A5505,Diab shoe w/metatarsal bar,0.00,36.0896
A5506,Diabetic shoe w/off set heel,0.00,36.0896
A5507,Modification diabetic shoe,0.00,36.0896
A5508,Diabetic deluxe shoe,0.00,36.0896
A5510,Compression form shoe insert,0.00,36.0896
A5512,Multi den insert direct form,0.00,36.0896
A5513,Multi den insert custom mold,0.00,36.0896
A5514,Mult den insert dir carv/cam,0.00,36.0896
A6000,Wound warming wound cover,0.00,36.0896
A6010,Collagen based wound filler,0.00,36.0896
A6011,Collagen gel/paste wound fil,0.00,36.0896
A6021,Collagen dressing <=16 sq in,0.00,36.0896
A6022,Collagen drsg>16<=48 sq in,0.00,36.0896
A6023,Collagen dressing >48 sq in,0.00,36.0896
A6024,Collagen dsg wound filler,0.00,36.0896
A6025,"Silicone gel sheet, each",0.00,36.0896
A6154,Wound pouch each,0.00,36.0896
A6196,Alginate dressing <=16 sq in,0.00,36.0896
A6197,Alginate drsg >16 <=48 sq in,0.00,36.0896
A6198,Alginate dressing > 48 sq in,0.00,36.0896
A6199,Alginate drsg wound filler,0.00,36.0896
A6203,Composite drsg <= 16 sq in,0.00,36.0896
A6204,Composite drsg >16<=48 sq in,0.00,36.0896
A6205,Composite drsg > 48 sq in,0.00,36.0896
A6206,Contact layer <= 16 sq in,0.00,36.0896
A6207,Contact layer >16<= 48 sq in,0.00,36.0896
A6208,Contact layer > 48 sq in,0.00,36.0896
A6209,Foam drsg <=16 sq in w/o bdr,0.00,36.0896
A6210,Foam drg >16<=48 sq in w/o b,0.00,36.0896
A6211,Foam drg > 48 sq in w/o brdr,0.00,36.0896
A6212,Foam drg <=16 sq in w/border,0.00,36.0896
A6213,Foam drg >16<=48 sq in w/bdr,0.00,36.0896
A6214,Foam drg > 48 sq in w/border,0.00,36.0896
A6215,Foam dressing wound filler,0.00,36.0896
A6216,Non-sterile gauze<=16 sq in,0.00,36.0896
A6217,Non-sterile gauze>16<=48 sq,0.00,36.0896
A6218,Non-sterile gauze > 48 sq in,0.00,36.0896
A6219,Gauze <= 16 sq in w/border,0.00,36.0896
A6220,Gauze >16 <=48 sq in w/bordr,0.00,36.0896
A6221,Gauze > 48 sq in w/border,0.00,36.0896
A6222,Gauze <=16 in no w/sal w/o b,0.00,36.0896
A6223,Gauze >16<=48 no w/sal w/o b,0.00,36.0896
A6224,Gauze > 48 in no w/sal w/o b,0.00,36.0896
A6228,Gauze <= 16 sq in water/sal,0.00,36.0896
A6229,Gauze >16<=48 sq in watr/sal,0.00,36.0896
A6230,Gauze > 48 sq in water/salne,0.00,36.0896
A6231,Hydrogel dsg<=16 sq in,0.00,36.0896
A6232,Hydrogel dsg>16<=48 sq in,0.00,36.0896
A6233,Hydrogel dressing >48 sq in,0.00,36.0896
A6234,Hydrocolld drg <=16 w/o bdr,0.00,36.0896
A6235,Hydrocolld drg >16<=48 w/o b,0.00,36.0896
A6236,Hydrocolld drg > 48 in w/o b,0.00,36.0896
A6237,Hydrocolld drg <=16 in w/bdr,0.00,36.0896
A6238,Hydrocolld drg >16<=48 w/bdr,0.00,36.0896
A6239,Hydrocolld drg > 48 in w/bdr,0.00,36.0896
A6240,Hydrocolld drg filler paste,0.00,36.0896
A6241,Hydrocolloid drg filler dry,0.00,36.0896
A6242,Hydrogel drg <=16 in w/o bdr,0.00,36.0896
A6243,Hydrogel drg >16<=48 w/o bdr,0.00,36.0896
A6244,Hydrogel drg >48 in w/o bdr,0.00,36.0896
A6245,Hydrogel drg <= 16 in w/bdr,0.00,36.0896
A6246,Hydrogel drg >16<=48 in w/b,0.00,36.0896
A6247,Hydrogel drg > 48 sq in w/b,0.00,36.0896
A6248,Hydrogel drsg gel filler,0.00,36.0896
A6250,Skin seal protect moisturizr,0.00,36.0896
A6251,Absorpt drg <=16 sq in w/o b,0.00,36.0896
A6252,Absorpt drg >16 <=48 w/o bdr,0.00,36.0896
A6253,Absorpt drg > 48 sq in w/o b,0.00,36.0896
A6254,Absorpt drg <=16 sq in w/bdr,0.00,36.0896
A6255,Absorpt drg >16<=48 in w/bdr,0.00,36.0896
A6256,Absorpt drg > 48 sq in w/bdr,0.00,36.0896
A6257,Transparent film <= 16 sq in,0.00,36.0896
A6258,Transparent film >16<=48 in,0.00,36.0896
A6259,Transparent film > 48 sq in,0.00,36.0896
A6260,Wound cleanser any type/size,0.00,36.0896
A6261,Wound filler gel/paste /oz,0.00,36.0896
A6262,Wound filler dry form / gram,0.00,36.0896
A6266,Impreg gauze no h20/sal/yard,0.00,36.0896
A6402,Sterile gauze <= 16 sq in,0.00,36.0896
A6403,Sterile gauze>16 <= 48 sq in,0.00,36.0896
A6404,Sterile gauze > 48 sq in,0.00,36.0896
A6407,"Packing strips, non-impreg",0.00,36.0896
A6410,Sterile eye pad,0.00,36.0896
A6411,Non-sterile eye pad,0.00,36.0896
A6412,Occlusive eye patch,0.00,36.0896
A6413,"Adhesive bandage, first-aid",0.00,36.0896
A6441,"Pad band w>=3"" <5""/yd",0.00,36.0896
A6442,"Conform band n/s w<3""/yd",0.00,36.0896
A6443,"Conform band n/s w>=3""<5""/yd",0.00,36.0896
A6444,"Conform band n/s w>=5""/yd",0.00,36.0896
A6445,"Conform band s w <3""/yd",0.00,36.0896
A6446,"Conform band s w>=3"" <5""/yd",0.00,36.0896
A6447,"Conform band s w >=5""/yd",0.00,36.0896
A6448,"Lt compres band <3""/yd",0.00,36.0896
A6449,"Lt compres band >=3"" <5""/yd",0.00,36.0896
A6450,"Lt compres band >=5""/yd",0.00,36.0896
A6451,"Mod compres band w>=3""<5""/yd",0.00,36.0896
A6452,"High compres band w>=3""<5""yd",0.00,36.0896
A6453,"Self-adher band w <3""/yd",0.00,36.0896
A6454,"Self-adher band w>=3"" <5""/yd",0.00,36.0896
A6455,"Self-adher band >=5""/yd",0.00,36.0896
A6456,"Zinc paste band w >=3""<5""/yd",0.00,36.0896
A6457,Tubular dressing,0.00,36.0896
A6460,Synthetic drsg <= 16 sq in,0.00,36.0896
A6461,Synthetic drsg >16<=48 sq in,0.00,36.0896
A6501,Compres burngarment bodysuit,0.00,36.0896
A6502,Compres burngarment chinstrp,0.00,36.0896
A6503,Compres burngarment facehood,0.00,36.0896
A6504,Cmprsburngarment glove-wrist,0.00,36.0896
A6505,Cmprsburngarment glove-elbow,0.00,36.0896
A6506,Cmprsburngrmnt glove-axilla,0.00,36.0896
A6507,Cmprs burngarment foot-knee,0.00,36.0896
A6508,Cmprs burngarment foot-thigh,0.00,36.0896
A6509,Compres burn garment jacket,0.00,36.0896
A6510,Compres burn garment leotard,0.00,36.0896
A6511,Compres burn garment panty,0.00,36.0896
A6512,"Compres burn garment, noc",0.00,36.0896
A6513,Compress burn mask face/neck,0.00,36.0896
A6530,Compression stocking bk18-30,0.00,36.0896
A6531,Compression stocking bk30-40,0.00,36.0896
A6532,Compression stocking bk40-50,0.00,36.0896
A6533,Gc stocking thighlngth 18-30,0.00,36.0896
A6534,Gc stocking thighlngth 30-40,0.00,36.0896
A6535,Gc stocking thighlngth 40-50,0.00,36.0896
A6536,Gc stocking full lngth 18-30,0.00,36.0896
A6537,Gc stocking full lngth 30-40,0.00,36.0896
A6538,Gc stocking full lngth 40-50,0.00,36.0896
A6539,Gc stocking waistlngth 18-30,0.00,36.0896
A6540,Gc stocking waistlngth 30-40,0.00,36.0896
A6541,Gc stocking waistlngth 40-50,0.00,36.0896
A6544,Gc stocking garter belt,0.00,36.0896
A6545,Grad comp non-elastic bk,0.00,36.0896
A6549,G compression stocking,0.00,36.0896
A6550,Neg pres wound ther drsg set,0.00,36.0896
A7000,Disposable canister for pump,0.00,36.0896
A7001,Nondisposable pump canister,0.00,36.0896
A7002,Tubing used w suction pump,0.00,36.0896
A7003,Nebulizer administration set,0.00,36.0896
A7004,Disposable nebulizer sml vol,0.00,36.0896
A7005,Nondisposable nebulizer set,0.00,36.0896
A7006,Filtered nebulizer admin set,0.00,36.0896
A7007,Lg vol nebulizer disposable,0.00,36.0896
A7008,Disposable nebulizer prefill,0.00,36.0896
A7009,Nebulizer reservoir bottle,0.00,36.0896
A7010,Disposable corrugated tubing,0.00,36.0896
A7012,Nebulizer water collec devic,0.00,36.0896
A7013,Disposable compressor filter,0.00,36.0896
A7014,Compressor nondispos filter,0.00,36.0896
A7015,Aerosol mask used w nebulize,0.00,36.0896
A7016,Nebulizer dome & mouthpiece,0.00,36.0896
A7017,Nebulizer not used w oxygen,0.00,36.0896
A7018,Water distilled w/nebulizer,0.00,36.0896
A7020,"Interface, cough stim device",0.00,36.0896
A7025,Replace chest compress vest,0.00,36.0896
A7026,Replace chst cmprss sys hose,0.00,36.0896
A7027,Combination oral/nasal mask,0.00,36.0896
A7028,Repl oral cushion combo mask,0.00,36.0896
A7029,Repl nasal pillow comb mask,0.00,36.0896
A7030,Cpap full face mask,0.00,36.0896
A7031,Replacement facemask interfa,0.00,36.0896
A7032,Replacement nasal cushion,0.00,36.0896
A7033,Replacement nasal pillows,0.00,36.0896
A7034,Nasal application device,0.00,36.0896
A7035,Pos airway press headgear,0.00,36.0896
A7036,Pos airway press chinstrap,0.00,36.0896
A7037,Pos airway pressure tubing,0.00,36.0896
A7038,Pos airway pressure filter,0.00,36.0896
A7039,"Filter, non disposable w pap",0.00,36.0896
